date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:50	83974/83974	---M-Z	200	added ('OK')	text/html	etag:%2214806-683c40a7-f7ec8b70ae175af7;gz%22	https://html.themewant.com/invena/project-grid-col-2.html	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/project-grid-col-2.html	(from https://html.themewant.com/invena/index.html)
21:42:51	87736/87736	---M-Z	200	added ('OK')	text/html	etag:%22156b8-683c40a7-6473cb478478ecec;gz%22	https://html.themewant.com/invena/project-slider-grid.html	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/project-slider-grid.html	(from https://html.themewant.com/invena/index.html)
21:42:51	85810/85810	---M-Z	200	added ('OK')	text/html	etag:%2214f32-683c40a7-5f595e9ae3332405;gz%22	https://html.themewant.com/invena/project-slider-overflow.html	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/project-slider-overflow.html	(from https://html.themewant.com/invena/index.html)
21:42:52	85746/85746	---M-Z	200	added ('OK')	text/html	etag:%2214ef2-683c40a7-9334be03232a6273;gz%22	https://html.themewant.com/invena/project-grid-col-3.html	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/project-grid-col-3.html	(from https://html.themewant.com/invena/index.html)
21:42:52	103850/103850	---M-Z	200	added ('OK')	text/html	etag:%22195aa-683c40a7-2e40cf63deac8e9c;gz%22	https://html.themewant.com/invena/project-details.html	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/project-details.html	(from https://html.themewant.com/invena/index.html)
21:42:52	103694/103694	---M-Z	200	added ('OK')	text/html	etag:%221950e-683c40a7-bc7cd10d33281d4f;gz%22	https://html.themewant.com/invena/project-details-2.html	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/project-details-2.html	(from https://html.themewant.com/invena/index.html)
21:42:53	104414/104414	---M-Z	200	added ('OK')	text/html	etag:%22197de-683c40a7-1a7048682048083d;gz%22	https://html.themewant.com/invena/project-details-3.html	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/project-details-3.html	(from https://html.themewant.com/invena/index.html)
21:42:53	103777/103777	---M-Z	200	added ('OK')	text/html	etag:%2219561-683c40a7-2ec5c13d8a3bac4f;gz%22	https://html.themewant.com/invena/project-details-large-image.html	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/project-details-large-image.html	(from https://html.themewant.com/invena/index.html)
21:42:53	106330/106330	---M-Z	200	added ('OK')	text/html	etag:%2219f5a-683c40a7-26fa37303a0499e5;gz%22	https://html.themewant.com/invena/project-details-gallery.html	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/project-details-gallery.html	(from https://html.themewant.com/invena/index.html)
21:42:54	251/251	---M--	200	added ('OK')	image/svg+xml	etag:%22fb-67da8d01-230dfa40a45fcd03;;;%22	https://html.themewant.com/invena/assets/images/icons/01.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/icons/01.svg	(from https://html.themewant.com/invena/index.html)
